GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ng-nexus-core,com.evolvsys.nexuse2e.core.purge.service,PurgeService,0,36,0,0,0,9,0,5,0,5
ng-nexus-core,com.evolvsys.nexuse2e.core.purge.service,PurgeGraphQLService,46,0,0,0,12,0,4,0,4,0
ng-nexus-core,com.evolvsys.nexuse2e.core.choreography.mapper,ContextChoreographyMapper,0,25,0,0,0,8,0,4,0,4
ng-nexus-core,com.evolvsys.nexuse2e.core.choreography.mapper,ChoreographyMapper,19,11,0,0,4,4,3,3,3,3
ng-nexus-core,com.evolvsys.nexuse2e.core.choreography.mapper,BaseChoreographyMapper,0,19,0,0,0,4,0,3,0,3
ng-nexus-core,com.evolvsys.nexuse2e.core.partner.security,PartnerConnectionAccessInterceptor,0,3,0,0,0,1,0,1,0,1
ng-nexus-core,com.evolvsys.nexuse2e.core.partner.security,PartnerAccessInterceptor,0,3,0,0,0,1,0,1,0,1
ng-nexus-core,com.evolvsys.nexuse2e.impl.parameter,XPathParameters,0,63,0,2,0,25,0,6,0,5
ng-nexus-core,com.evolvsys.nexuse2e.impl.parameter,HttpConnectionParameters,0,149,0,0,0,62,0,11,0,11
ng-nexus-core,com.evolvsys.nexuse2e.core.schedule,ServiceInitializer,0,63,0,2,0,16,0,3,0,2
ng-nexus-core,com.evolvsys.nexuse2e.core.schedule,BasicServiceSchedulingJob,20,79,0,2,4,19,0,3,0,2
ng-nexus-core,com.evolvsys.nexuse2e.core.schedule,SchedulingService,49,172,2,4,14,47,2,15,0,14
ng-nexus-core,com.evolvsys.nexuse2e.core.schedule,SchedulingServiceAware,22,98,4,6,6,41,4,6,0,5
ng-nexus-core,com.evolvsys.nexuse2e.core.schedule,SchedulingServiceCleanupJob,7,128,0,10,2,32,0,8,0,3
ng-nexus-core,com.evolvsys.nexuse2e.core.schedule,SchedulingJobConfiguration,0,33,0,0,0,12,0,4,0,4
ng-nexus-core,com.evolvsys.nexuse2e.impl.service.outbound,BaseHttpSenderService,179,514,19,35,43,118,17,28,1,17
ng-nexus-core,com.evolvsys.nexuse2e.impl.service.outbound,FileSaveSenderService,19,70,1,1,7,16,1,4,0,4
ng-nexus-core,com.evolvsys.nexuse2e.impl.service.outbound,ReactiveHttpSenderService,21,119,0,0,1,25,2,6,2,6
ng-nexus-core,com.evolvsys.nexuse2e.impl.service.outbound,AzureBlobStorageSenderService.AuthenticationMethod,21,0,0,0,4,0,1,0,1,0
ng-nexus-core,com.evolvsys.nexuse2e.impl.service.outbound,NoopSenderService,0,15,0,0,0,5,0,4,0,4
ng-nexus-core,com.evolvsys.nexuse2e.impl.service.outbound,HttpSenderService,0,140,0,0,0,25,0,9,0,9
ng-nexus-core,com.evolvsys.nexuse2e.impl.service.outbound,SftpPushService,0,246,1,9,0,62,1,8,0,4
ng-nexus-core,com.evolvsys.nexuse2e.impl.service.outbound,DatabaseSenderService,13,159,0,8,6,44,0,9,0,5
ng-nexus-core,com.evolvsys.nexuse2e.impl.service.outbound,AzureBlobStorageSenderService,310,0,11,0,99,0,10,0,4,0
ng-nexus-core,com.evolvsys.nexuse2e.core.config.validation,ValidationContextHolder,1,22,1,1,0,7,1,5,0,5
ng-nexus-core,com.evolvsys.nexuse2e.core.config.validation,ValidPartnerConnectionParametersConstraintValidator,9,74,2,4,3,21,2,8,0,7
